caseid,agearr10,age_group,sex,marital_status,number_of_children,alcohol_consumption,smoking_status,stresslevel,source_of_stress,hours_worked,job_satisfication,discrimination_Frequency,ourdoor_activities,living_standard,health_level,personal_relationship_level,apperance_level,stress
1,96,5,2,1,0,5,3,1,96,3,6,6,2,7,7,10,4,Not at all stressful
2,96,5,2,6,0,6,1,3,6,3,2,6,1,5,2,5,2,A bit stressful
3,96,6,2,3,0,7,3,1,96,6,6,6,2,9,9,10,8,Not at all stressful
4,96,6,2,1,0,6,3,3,6,6,6,6,2,7,1,8,8,A bit stressful
5,3,2,1,6,0,7,3,2,6,3,2,6,1,10,10,5,10,Not very stressful
6,96,3,1,1,3,4,3,4,2,3,6,6,2,5,6,8,7,Quite A bit stressful
7,96,4,2,5,0,7,3,3,2,3,2,6,2,6,10,8,9,A bit stressful
8,2,3,1,1,2,4,3,3,3,3,2,6,1,10,7,6,9,A bit stressful
9,96,1,2,6,0,4,3,4,5,4,2,6,2,8,8,10,8,Quite A bit stressful
10,4,4,2,1,1,7,3,3,3,3,1,6,2,8,8,10,9,A bit stressful
11,96,7,2,3,0,3,3,3,7,6,6,6,1,9,8,10,6,A bit stressful
12,96,2,1,6,3,7,3,2,2,6,6,6,1,7,7,10,8,Not very stressful
13,96,1,2,6,0,7,3,4,4,6,6,6,2,8,8,8,7,Quite A bit stressful
14,96,4,1,1,0,5,3,2,1,3,2,6,2,7,7,9,7,Not very stressful
15,96,2,1,2,0,2,2,3,1,3,1,6,2,10,9,10,9,A bit stressful
16,96,7,2,5,0,6,3,1,96,6,6,6,1,8,7,10,8,Not at all stressful
17,96,6,2,1,0,7,3,3,97,6,6,6,2,9,4,9,8,A bit stressful
18,96,5,2,1,0,6,3,2,7,6,6,6,2,10,10,10,8,Not very stressful
19,96,4,2,2,1,2,3,3,1,3,2,6,2,10,8,7,10,A bit stressful
20,3,2,1,1,3,5,3,1,96,3,2,6,1,10,10,10,10,Not at all stressful
21,4,5,1,5,0,7,3,2,7,4,1,6,2,10,8,10,5,Not very stressful
22,2,7,1,1,0,6,3,4,2,6,6,6,1,0,0,10,3,Quite A bit stressful
23,96,6,1,1,0,4,3,2,2,1,6,6,1,8,5,9,8,Not very stressful
24,3,7,1,1,0,1,3,2,98,6,6,6,2,7,8,7,7,Not very stressful
25,96,2,2,2,0,6,3,3,1,3,6,6,2,8,9,10,6,A bit stressful
26,96,5,1,1,0,5,3,4,2,3,3,6,2,6,6,9,6,Quite A bit stressful
27,96,6,2,1,0,5,3,3,3,6,6,6,1,8,8,7,7,A bit stressful
28,96,3,1,2,0,5,3,4,1,3,5,6,2,10,5,10,3,Quite A bit stressful
29,96,5,2,1,0,6,3,3,1,3,2,6,1,5,3,8,2,A bit stressful
30,3,3,2,5,0,7,3,3,2,6,6,6,2,3,6,8,6,A bit stressful
31,96,7,2,3,0,7,3,1,96,6,6,6,1,10,7,10,6,Not at all stressful
32,96,5,2,6,0,5,1,2,3,6,6,6,1,7,6,8,5,Not very stressful
33,96,4,1,6,0,5,3,2,3,3,2,6,2,9,9,7,6,Not very stressful
34,96,5,2,5,0,7,1,1,96,3,2,6,2,6,8,6,8,Not at all stressful
35,96,6,2,1,0,5,3,1,96,6,6,6,2,9,8,10,9,Not at all stressful
36,5,6,1,1,0,6,3,3,1,3,2,6,1,7,7,5,3,A bit stressful
37,96,1,2,6,0,3,3,2,1,6,6,6,2,9,9,8,7,Not very stressful
38,96,5,2,1,0,3,3,2,2,6,6,6,2,7,7,7,6,Not very stressful
39,96,3,1,1,2,2,3,3,5,4,1,6,2,9,7,10,8,A bit stressful
40,96,7,1,3,0,7,3,1,96,6,6,6,1,10,10,10,10,Not at all stressful
41,3,2,2,6,0,6,3,2,2,3,2,6,2,7,10,10,8,Not very stressful
42,96,2,1,6,0,5,1,3,3,3,2,6,2,7,6,6,5,A bit stressful
43,96,4,1,6,0,5,3,3,5,4,2,6,2,8,8,2,6,A bit stressful
44,96,6,2,5,0,7,1,1,96,6,6,6,1,5,2,9,5,Not at all stressful
45,96,1,1,6,0,7,3,4,6,6,6,6,2,10,8,6,10,Quite A bit stressful
46,96,3,2,1,1,5,3,3,5,3,2,6,2,8,5,8,5,A bit stressful
47,96,6,1,1,0,5,3,2,7,3,6,6,2,10,8,10,5,Not very stressful
48,96,5,1,1,0,6,3,4,2,6,6,6,1,1,1,7,1,Quite A bit stressful
49,5,7,1,1,0,4,3,3,3,6,6,6,1,9,7,10,9,A bit stressful
50,96,4,1,6,0,6,2,4,2,6,6,6,1,4,4,5,3,Quite A bit stressful
51,96,6,2,1,0,1,3,3,7,6,6,6,2,9,9,9,9,A bit stressful
52,4,7,1,1,0,2,3,4,3,6,6,6,2,9,97,8,10,Quite A bit stressful
53,96,5,2,1,0,3,3,1,96,6,6,6,2,10,6,8,5,Not at all stressful
54,96,7,2,1,0,3,3,2,7,6,6,6,1,10,10,10,99,Not very stressful
55,96,6,2,3,0,6,1,3,3,6,6,6,1,7,7,7,5,A bit stressful
56,96,4,1,2,0,3,3,2,3,3,1,6,1,9,4,8,8,Not very stressful
57,96,6,2,5,0,6,3,2,2,6,6,6,2,7,8,8,3,Not very stressful
58,96,5,2,1,0,2,3,3,1,4,6,6,2,6,5,8,5,A bit stressful
59,5,5,2,1,0,6,3,3,3,3,2,6,1,10,10,10,10,A bit stressful
60,96,4,2,1,0,4,3,3,1,3,1,6,2,7,6,8,7,A bit stressful
61,96,6,1,1,0,6,3,1,96,1,6,6,2,8,8,8,7,Not at all stressful
62,96,4,1,1,1,7,3,2,5,3,1,6,2,8,7,10,8,Not very stressful
63,96,4,1,2,2,3,3,4,1,3,1,6,2,8,9,9,7,Quite A bit stressful
64,96,2,2,1,0,4,3,4,1,4,2,6,2,7,7,10,6,Quite A bit stressful
65,96,6,1,1,0,5,3,2,3,6,6,6,2,7,10,10,10,Not very stressful
66,96,2,1,2,2,5,1,3,2,3,2,6,2,7,6,10,8,A bit stressful
67,96,5,1,1,0,6,3,3,7,3,1,6,2,10,5,3,8,A bit stressful
68,96,3,2,1,0,7,3,3,2,3,1,6,2,8,8,9,7,A bit stressful
69,1,7,2,3,0,6,3,1,96,6,6,6,1,10,9,9,8,Not at all stressful
70,2,1,1,6,0,5,3,4,4,2,2,6,2,8,10,7,7,Quite A bit stressful
71,96,4,1,1,0,3,1,4,2,4,2,6,2,4,8,6,7,Quite A bit stressful
72,96,6,2,1,0,3,3,1,96,6,6,6,2,10,8,10,8,Not at all stressful
73,96,7,1,1,0,6,3,1,96,6,6,6,1,10,10,10,10,Not at all stressful
74,1,5,2,4,0,6,1,2,3,3,1,6,2,7,8,9,9,Not very stressful
75,96,6,1,1,0,1,3,2,6,6,6,6,1,7,4,10,7,Not very stressful
76,96,5,2,5,1,5,2,2,2,3,6,6,2,10,10,10,10,Not very stressful
77,96,5,1,1,0,1,3,3,1,3,1,6,2,8,10,10,10,A bit stressful
78,96,5,1,1,0,4,3,1,96,6,6,6,2,10,8,10,7,Not at all stressful
79,96,4,1,4,0,4,3,1,96,4,1,6,2,7,7,8,8,Not at all stressful
80,96,7,2,4,0,7,3,2,97,1,6,6,1,10,10,10,8,Not very stressful
81,3,5,2,1,0,97,7,7,97,3,3,2,7,97,97,97,97,Extremely stressful
82,4,2,2,1,1,6,3,2,5,2,6,2,2,8,9,8,7,Not very stressful
83,4,4,2,1,0,4,3,5,3,3,4,2,2,7,8,7,10,Extremely stressful
84,96,3,2,5,1,3,3,2,3,2,6,6,2,8,10,8,9,Not very stressful
85,96,2,2,1,1,4,3,1,96,3,1,6,2,10,10,10,10,Not at all stressful
86,96,4,2,5,0,5,3,4,2,6,6,6,2,6,3,4,7,Quite A bit stressful
87,96,6,1,6,0,6,3,3,2,6,6,6,2,7,8,7,8,A bit stressful
88,3,6,2,1,0,5,3,3,7,4,6,6,1,8,9,10,10,A bit stressful
89,96,6,2,6,0,7,3,2,3,6,6,6,1,7,8,9,8,Not very stressful
90,96,6,2,1,0,6,3,1,96,6,6,6,1,8,8,8,8,Not at all stressful
91,3,7,1,4,0,2,3,3,3,6,6,6,1,7,2,4,5,A bit stressful
92,96,3,1,1,1,4,3,3,7,3,2,6,2,9,8,9,8,A bit stressful
93,4,5,2,1,0,5,1,4,2,3,1,6,1,8,7,8,8,Quite A bit stressful
94,96,6,2,1,0,4,3,3,2,1,2,6,1,10,7,9,4,A bit stressful
95,96,5,1,1,0,3,3,2,3,4,2,6,2,9,8,10,9,Not very stressful
96,96,4,2,1,0,4,3,2,97,3,1,6,2,9,8,10,8,Not very stressful
97,96,7,1,1,0,1,3,3,7,6,6,6,2,8,8,8,8,A bit stressful
98,96,6,2,3,0,6,3,1,96,6,6,6,2,10,10,10,10,Not at all stressful
99,96,6,1,1,0,2,3,3,3,6,6,6,2,8,8,8,7,A bit stressful
100,96,3,1,1,2,2,1,3,1,4,2,6,2,8,6,6,4,A bit stressful
101,96,5,1,1,0,2,3,2,3,3,2,6,2,10,10,10,10,Not very stressful
102,3,2,1,6,1,6,3,3,1,4,2,2,2,9,8,9,9,A bit stressful
103,1,3,2,1,2,7,3,3,5,3,1,6,2,10,8,9,7,A bit stressful
104,96,4,2,2,1,3,1,2,2,3,1,6,2,8,8,9,8,Not very stressful
105,99,3,2,2,2,5,3,3,1,3,1,6,2,9,8,10,9,A bit stressful
106,2,6,2,1,0,7,3,3,6,6,6,6,1,10,7,10,7,A bit stressful
107,96,5,2,1,0,5,3,4,1,4,1,6,2,10,8,10,8,Quite A bit stressful
108,96,4,2,1,1,3,3,2,5,3,2,6,1,8,10,7,8,Not very stressful
109,96,2,1,2,0,3,3,4,2,4,6,6,2,5,7,9,7,Quite A bit stressful
110,96,5,2,3,0,6,3,2,7,6,6,6,1,10,8,10,6,Not very stressful
111,96,7,2,1,0,7,3,3,6,6,6,6,1,97,0,10,10,A bit stressful
112,96,5,2,1,0,3,3,2,1,4,6,6,2,10,9,10,9,Not very stressful
113,96,3,1,1,1,5,3,3,2,4,1,6,2,7,8,9,6,A bit stressful
114,96,4,2,1,1,2,3,4,3,3,2,6,2,6,5,8,3,Quite A bit stressful
