caseid,agearr10,age_group,sex,marital_status,number_of_children,alcohol_consumption,smoking_status,stresslevel,source_of_stress,hours_worked,job_satisfaction,discrimination_Frequency,ourdoor_activities,living_standard,health_level,personal_relationship_level,appearance_level,stress
5,3,2,1,6,0,7,3,2,6,3,2,6,1,10,10,5,10,Not very stressful
8,2,3,1,1,2,4,3,3,3,3,2,6,1,10,7,6,9,A bit stressful
15,96,2,1,2,0,2,2,3,1,3,1,6,2,10,9,10,9,A bit stressful
18,96,5,2,1,0,6,3,2,7,6,6,6,2,10,10,10,8,Not very stressful
19,96,4,2,2,1,2,3,3,1,3,2,6,2,10,8,7,10,A bit stressful
21,4,5,1,5,0,7,3,2,7,4,1,6,2,10,8,10,5,Not very stressful
22,2,7,1,1,0,6,3,4,2,6,6,6,1,0,0,10,3,Quite A bit stressful
28,96,3,1,2,0,5,3,4,1,3,5,6,2,10,5,10,3,Quite A bit stressful
45,96,1,1,6,0,7,3,4,6,6,6,6,2,10,8,6,10,Quite A bit stressful
47,96,6,1,1,0,5,3,2,7,3,6,6,2,10,8,10,5,Not very stressful
48,96,5,1,1,0,6,3,4,2,6,6,6,1,1,1,7,1,Quite A bit stressful
54,96,7,2,1,0,3,3,2,7,6,6,6,1,10,10,10,99,Not very stressful
59,5,5,2,1,0,6,3,3,3,3,2,6,1,10,10,10,10,A bit stressful
67,96,5,1,1,0,6,3,3,7,3,1,6,2,10,5,3,8,A bit stressful
76,96,5,2,5,1,5,2,2,2,3,6,6,2,10,10,10,10,Not very stressful
94,96,6,2,1,0,4,3,3,2,1,2,6,1,10,7,9,4,A bit stressful
101,96,5,1,1,0,2,3,2,3,3,2,6,2,10,10,10,10,Not very stressful
103,1,3,2,1,2,7,3,3,5,3,1,6,2,10,8,9,7,A bit stressful
106,2,6,2,1,0,7,3,3,6,6,6,6,1,10,7,10,7,A bit stressful
107,96,5,2,1,0,5,3,4,1,4,1,6,2,10,8,10,8,Quite A bit stressful
110,96,5,2,3,0,6,3,2,7,6,6,6,1,10,8,10,6,Not very stressful
112,96,5,2,1,0,3,3,2,1,4,6,6,2,10,9,10,9,Not very stressful
117,96,6,2,1,0,6,3,2,7,6,6,6,1,10,9,10,10,Not very stressful
131,1,6,1,2,0,5,3,2,3,2,2,6,2,10,10,10,9,Not very stressful
138,96,5,2,1,0,1,3,2,3,3,6,6,2,10,10,10,10,Not very stressful
146,96,5,2,1,0,3,3,2,6,6,6,6,2,10,8,8,8,Not very stressful
148,96,6,2,1,0,6,1,2,6,6,6,6,1,10,8,10,9,Not very stressful
161,96,2,2,1,2,5,3,4,5,6,6,6,2,10,9,10,10,Quite A bit stressful
164,96,2,1,1,0,5,1,4,1,3,3,6,2,10,7,7,7,Quite A bit stressful
165,96,1,2,6,0,5,3,2,2,2,3,6,2,10,8,10,9,Not very stressful
172,1,7,2,3,0,6,3,3,6,6,6,6,1,10,5,10,10,A bit stressful
195,2,1,1,6,1,7,3,4,4,6,6,6,2,10,5,7,10,Quite A bit stressful
199,96,1,2,6,1,7,3,3,4,6,6,6,2,10,10,10,9,A bit stressful
226,96,7,2,1,0,1,3,4,3,6,6,6,1,10,8,5,8,Quite A bit stressful
237,96,5,2,1,0,3,3,2,3,3,2,6,2,10,10,10,9,Not very stressful
242,96,7,1,6,0,7,3,2,6,6,6,6,2,10,6,6,8,Not very stressful
249,96,4,2,2,0,6,3,3,7,3,6,6,2,10,8,10,10,A bit stressful
252,96,6,1,1,0,1,3,2,6,6,6,6,2,10,8,9,8,Not very stressful
257,96,4,2,1,3,4,3,3,3,3,2,6,2,10,10,10,10,A bit stressful
270,96,4,1,5,0,3,1,2,1,3,2,6,1,10,10,9,10,Not very stressful
274,96,6,1,1,0,2,3,2,3,6,6,6,2,10,8,8,8,Not very stressful
279,96,6,1,1,0,4,3,2,7,3,9,6,1,10,9,10,7,Not very stressful
280,96,4,2,6,0,7,3,5,1,3,3,6,2,10,6,6,6,Extremely stressful
285,96,6,2,1,0,4,3,2,5,6,6,6,1,10,8,10,8,Not very stressful
295,96,2,2,2,3,7,3,3,3,6,6,6,2,10,10,10,10,A bit stressful
297,96,1,2,6,0,5,3,4,4,1,6,6,2,10,8,9,7,Quite A bit stressful
309,96,5,1,1,0,1,3,3,1,3,1,6,2,10,8,7,9,A bit stressful
319,96,5,2,1,0,3,3,3,1,3,6,6,2,10,10,10,8,A bit stressful
322,96,5,2,1,0,2,3,2,3,3,1,6,2,10,8,9,4,Not very stressful
324,3,2,1,1,2,7,3,2,7,6,6,6,2,10,10,10,10,Not very stressful
328,96,2,1,1,1,5,3,2,5,3,1,6,2,10,8,8,8,Not very stressful
336,96,3,1,2,0,1,1,3,2,1,6,2,2,10,3,7,10,A bit stressful
340,96,4,2,6,0,6,3,3,1,4,1,6,2,10,9,9,8,A bit stressful
342,96,5,2,1,0,2,3,2,3,1,6,6,1,10,10,9,9,Not very stressful
348,96,1,2,6,0,4,3,3,4,3,1,6,2,10,10,9,8,A bit stressful
357,96,6,1,1,0,2,3,2,5,6,6,6,2,10,5,7,7,Not very stressful
361,96,2,1,6,0,5,3,4,1,4,1,6,2,10,8,9,8,Quite A bit stressful
362,96,5,2,1,0,7,3,2,5,6,6,6,2,10,8,9,7,Not very stressful
365,96,5,1,1,0,5,3,2,5,6,6,6,2,10,9,10,10,Not very stressful
371,96,4,2,1,0,6,3,3,3,4,2,6,2,10,9,8,7,A bit stressful
376,96,5,2,1,0,6,3,2,6,6,6,6,1,10,4,10,6,Not very stressful
382,96,4,1,2,0,3,3,2,2,3,1,6,2,10,8,8,10,Not very stressful
385,96,3,2,6,0,6,3,3,1,2,2,6,1,10,10,5,8,A bit stressful
387,96,1,2,6,0,3,3,2,1,3,1,6,2,10,10,10,10,Not very stressful
390,2,6,2,3,0,7,3,2,2,4,6,1,2,10,10,10,10,Not very stressful
406,96,4,1,1,1,3,3,4,1,4,2,6,2,10,8,8,10,Quite A bit stressful
408,96,4,2,1,0,4,2,3,1,3,2,6,2,10,8,8,8,A bit stressful
429,96,3,1,6,0,5,3,2,2,3,1,6,1,10,9,10,7,Not very stressful
452,3,6,2,1,0,7,3,2,6,6,6,6,1,10,5,10,10,Not very stressful
463,96,7,1,1,0,1,3,2,3,6,6,6,2,10,7,9,10,Not very stressful
464,5,3,2,1,3,7,3,3,2,6,6,6,1,10,9,6,7,A bit stressful
465,96,6,2,1,0,6,3,4,6,6,6,6,1,10,5,10,10,Quite A bit stressful
469,96,3,2,6,0,4,3,4,1,4,2,1,2,10,7,8,7,Quite A bit stressful
471,96,6,2,1,0,4,3,2,6,6,6,6,1,10,8,8,5,Not very stressful
473,96,4,1,5,0,5,1,3,1,4,6,6,2,10,10,5,10,A bit stressful
488,96,1,1,6,0,2,3,3,4,2,2,6,2,10,7,10,8,A bit stressful
490,96,5,2,1,0,7,3,2,3,1,6,6,2,10,9,6,4,Not very stressful
493,96,5,2,1,0,5,3,3,1,3,6,6,1,10,9,9,8,A bit stressful
502,96,5,1,1,0,2,3,4,5,4,1,6,2,10,9,7,7,Quite A bit stressful
505,96,2,2,6,0,7,1,3,6,6,6,6,2,10,8,10,10,A bit stressful
509,96,2,1,4,1,5,1,5,2,4,6,6,2,10,10,9,10,Extremely stressful
511,96,5,2,1,0,5,3,2,6,6,6,6,2,10,5,9,5,Not very stressful
514,96,5,2,1,0,4,3,4,5,4,6,3,7,10,0,5,5,Quite A bit stressful
517,96,4,2,1,0,7,3,3,7,3,1,6,2,10,8,7,8,A bit stressful
518,96,1,2,6,0,5,3,4,4,6,6,6,1,10,7,8,5,Quite A bit stressful
521,96,6,1,2,0,3,3,2,7,6,6,6,2,10,10,10,10,Not very stressful
527,96,1,1,6,0,1,2,3,4,2,6,6,2,10,8,8,9,A bit stressful
532,96,7,1,3,0,1,3,2,3,1,6,6,2,10,8,10,7,Not very stressful
537,96,4,1,1,0,5,3,2,3,4,6,6,2,10,8,10,7,Not very stressful
543,96,3,2,1,2,6,3,3,3,1,1,6,2,10,8,10,9,A bit stressful
546,96,4,1,1,0,2,3,4,1,3,1,6,2,10,9,7,7,Quite A bit stressful
582,96,3,1,1,1,1,1,2,1,4,1,6,1,10,10,10,10,Not very stressful
586,96,4,2,1,2,5,3,2,5,3,6,6,2,10,9,10,10,Not very stressful
589,96,5,1,3,0,7,3,3,6,6,6,6,2,10,9,10,10,A bit stressful
598,3,7,1,1,0,7,3,3,2,3,6,2,1,10,5,10,10,A bit stressful
603,96,1,2,6,0,3,3,5,4,3,6,6,2,10,8,8,9,Extremely stressful
622,2,1,2,6,0,6,3,2,4,3,1,6,1,10,10,10,10,Not very stressful
633,96,7,1,5,0,2,3,3,3,6,6,6,2,10,9,8,8,A bit stressful
636,96,5,2,2,0,6,1,2,3,6,6,6,2,10,8,10,9,Not very stressful
637,96,6,1,1,0,1,3,2,3,6,6,6,2,10,8,8,5,Not very stressful
639,96,6,2,1,0,7,3,4,3,6,6,6,1,10,8,10,0,Quite A bit stressful
648,96,4,2,1,0,1,2,2,5,1,6,6,2,10,7,8,7,Not very stressful
656,96,3,1,1,1,6,3,3,1,4,6,6,1,10,7,10,9,A bit stressful
661,96,1,2,6,1,5,3,3,4,1,6,6,2,10,10,10,8,A bit stressful
664,3,3,1,5,0,7,3,3,3,9,6,6,1,10,6,4,9,A bit stressful
668,2,5,2,1,0,6,3,2,6,6,6,6,1,10,8,8,9,Not very stressful
671,4,6,2,1,0,1,3,2,5,6,6,6,2,10,10,10,8,Not very stressful
674,96,2,1,2,2,5,3,3,1,3,2,6,2,10,6,7,3,A bit stressful
679,1,1,2,6,0,5,3,3,5,1,4,6,1,10,10,10,8,A bit stressful
683,96,4,2,3,0,2,1,5,1,3,6,3,2,10,10,5,10,Extremely stressful
691,1,4,2,6,0,6,3,3,7,6,6,6,1,0,6,0,2,A bit stressful
695,96,5,2,2,0,2,3,3,3,3,2,6,2,10,7,7,5,A bit stressful
710,96,4,2,1,0,5,3,2,2,2,2,6,2,10,5,9,4,Not very stressful
